000.000 =============================================================
000.000                     Station B                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "./selective-B.log", TCP port 59144, debug mask 0x00
000.000 Station B is connecting station A (TCP port 59144) ... Done.
000.538 New epoch: Wed Apr  5 15:38:44 2023
000.538 =================================================================
000.538 
000.538 Designed by Jiang Yanjun, build: Oct 28 2018  16:51:52
002.954 .... 8 packets received, 7656 bps, 95.70%, Err 0 (0.0e+00)
005.854 .... 15 packets received, 6095 bps, 76.19%, Err 1 (2.4e-05)
007.964 .... 21 packets received, 6015 bps, 75.19%, Err 2 (3.4e-05)
010.077 .... 33 packets received, 7296 bps, 91.20%, Err 2 (2.6e-05)
012.170 .... 41 packets received, 7394 bps, 92.43%, Err 2 (2.2e-05)
014.293 .... 49 packets received, 7445 bps, 93.06%, Err 2 (1.8e-05)
016.416 .... 57 packets received, 7482 bps, 93.53%, Err 2 (1.6e-05)
018.527 .... 65 packets received, 7515 bps, 93.94%, Err 2 (1.4e-05)
020.636 .... 73 packets received, 7542 bps, 94.28%, Err 2 (1.2e-05)
022.740 .... 81 packets received, 7566 bps, 94.57%, Err 2 (1.1e-05)
024.857 .... 89 packets received, 7581 bps, 94.76%, Err 2 (1.0e-05)
026.974 .... 97 packets received, 7594 bps, 94.92%, Err 2 (9.5e-06)
029.087 .... 105 packets received, 7606 bps, 95.07%, Err 2 (8.8e-06)
031.993 .... 111 packets received, 7291 bps, 91.14%, Err 4 (1.6e-05)
034.091 .... 123 packets received, 7570 bps, 94.62%, Err 4 (1.5e-05)
036.199 .... 131 packets received, 7582 bps, 94.77%, Err 4 (1.4e-05)
038.319 .... 139 packets received, 7590 bps, 94.88%, Err 4 (1.3e-05)
040.427 .... 147 packets received, 7600 bps, 95.00%, Err 4 (1.3e-05)
042.532 .... 154 packets received, 7560 bps, 94.50%, Err 6 (1.8e-05)
044.669 .... 161 packets received, 7519 bps, 93.98%, Err 6 (1.7e-05)
046.791 .... 169 packets received, 7528 bps, 94.10%, Err 6 (1.6e-05)
048.907 .... 177 packets received, 7537 bps, 94.22%, Err 6 (1.6e-05)
050.989 .... 185 packets received, 7551 bps, 94.39%, Err 6 (1.5e-05)
053.122 .... 193 packets received, 7556 bps, 94.46%, Err 6 (1.4e-05)
055.237 .... 201 packets received, 7564 bps, 94.55%, Err 6 (1.4e-05)
