000.000 =============================================================
000.000                     Station B                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "b.log", TCP port 59146, debug mask 0x00
000.000 Station B is connecting station A (TCP port 59146) ... Done.
000.788 New epoch: Sat May 20 10:11:19 2023
000.788 =================================================================
000.788 
000.788 Designed by Li Ruobin, build: May 20 2023  02:25:18
003.192 .... 8 packets received, 7696 bps, 96.20%, Err 0 (0.0e+00)
006.361 .... 15 packets received, 5798 bps, 72.48%, Err 1 (2.3e-05)
008.717 .... 23 packets received, 6154 bps, 76.93%, Err 2 (3.2e-05)
010.849 .... 35 packets received, 7325 bps, 91.56%, Err 2 (2.5e-05)
012.951 .... 43 packets received, 7408 bps, 92.60%, Err 2 (2.1e-05)
015.065 .... 51 packets received, 7460 bps, 93.24%, Err 2 (1.8e-05)
017.182 .... 59 packets received, 7496 bps, 93.70%, Err 2 (1.5e-05)
019.287 .... 67 packets received, 7529 bps, 94.12%, Err 2 (1.4e-05)
021.407 .... 75 packets received, 7550 bps, 94.38%, Err 2 (1.2e-05)
023.503 .... 83 packets received, 7575 bps, 94.69%, Err 2 (1.1e-05)
025.624 .... 91 packets received, 7588 bps, 94.85%, Err 2 (1.0e-05)
028.546 .... 97 packets received, 7228 bps, 90.35%, Err 4 (1.8e-05)
030.643 .... 109 packets received, 7547 bps, 94.33%, Err 4 (1.7e-05)
032.773 .... 117 packets received, 7556 bps, 94.46%, Err 4 (1.6e-05)
034.849 .... 125 packets received, 7577 bps, 94.71%, Err 4 (1.5e-05)
037.246 .... 129 packets received, 7302 bps, 91.27%, Err 6 (2.1e-05)
039.375 .... 140 packets received, 7484 bps, 93.55%, Err 6 (1.9e-05)
041.469 .... 143 packets received, 7248 bps, 90.60%, Err 7 (2.2e-05)
043.576 .... 155 packets received, 7467 bps, 93.34%, Err 7 (2.0e-05)
045.702 .... 163 packets received, 7478 bps, 93.48%, Err 7 (1.9e-05)
047.812 .... 171 packets received, 7491 bps, 93.64%, Err 7 (1.9e-05)
049.918 .... 179 packets received, 7504 bps, 93.80%, Err 7 (1.8e-05)
052.038 .... 187 packets received, 7513 bps, 93.91%, Err 7 (1.7e-05)
054.144 .... 195 packets received, 7524 bps, 94.04%, Err 7 (1.6e-05)
056.254 .... 203 packets received, 7533 bps, 94.16%, Err 7 (1.6e-05)
058.361 .... 211 packets received, 7542 bps, 94.27%, Err 7 (1.5e-05)
060.478 .... 219 packets received, 7549 bps, 94.36%, Err 7 (1.5e-05)
062.593 .... 227 packets received, 7556 bps, 94.44%, Err 8 (1.6e-05)
064.691 .... 234 packets received, 7532 bps, 94.15%, Err 8 (1.6e-05)
066.796 .... 242 packets received, 7540 bps, 94.25%, Err 8 (1.5e-05)
068.912 .... 250 packets received, 7546 bps, 94.33%, Err 8 (1.5e-05)
072.342 .... 258 packets received, 7413 bps, 92.66%, Err 9 (1.6e-05)
074.494 .... 270 packets received, 7530 bps, 94.13%, Err 9 (1.5e-05)
076.595 .... 278 packets received, 7538 bps, 94.22%, Err 9 (1.5e-05)
078.700 .... 286 packets received, 7544 bps, 94.31%, Err 9 (1.4e-05)
080.832 .... 294 packets received, 7548 bps, 94.35%, Err 9 (1.4e-05)
082.925 .... 302 packets received, 7555 bps, 94.44%, Err 9 (1.4e-05)
085.056 .... 310 packets received, 7559 bps, 94.48%, Err 9 (1.3e-05)
087.144 .... 318 packets received, 7566 bps, 94.57%, Err 9 (1.3e-05)
089.276 .... 326 packets received, 7569 bps, 94.61%, Err 9 (1.3e-05)
091.373 .... 334 packets received, 7574 bps, 94.68%, Err 9 (1.2e-05)
093.473 .... 342 packets received, 7579 bps, 94.74%, Err 9 (1.2e-05)
095.606 .... 350 packets received, 7582 bps, 94.77%, Err 9 (1.2e-05)
097.740 .... 358 packets received, 7584 bps, 94.80%, Err 9 (1.2e-05)
099.853 .... 366 packets received, 7587 bps, 94.84%, Err 9 (1.1e-05)
101.963 .... 374 packets received, 7591 bps, 94.89%, Err 9 (1.1e-05)
104.055 .... 382 packets received, 7596 bps, 94.95%, Err 9 (1.1e-05)
106.175 .... 390 packets received, 7599 bps, 94.98%, Err 9 (1.1e-05)
108.291 .... 398 packets received, 7602 bps, 95.02%, Err 9 (1.0e-05)
110.386 .... 406 packets received, 7606 bps, 95.07%, Err 9 (1.0e-05)
112.501 .... 414 packets received, 7608 bps, 95.11%, Err 9 (1.0e-05)
114.629 .... 422 packets received, 7610 bps, 95.13%, Err 9 (9.9e-06)
117.781 .... 430 packets received, 7545 bps, 94.31%, Err 11 (1.2e-05)
120.436 .... 440 packets received, 7549 bps, 94.36%, Err 11 (1.1e-05)
122.545 .... 446 packets received, 7519 bps, 93.99%, Err 12 (1.2e-05)
124.922 .... 450 packets received, 7441 bps, 93.01%, Err 13 (1.3e-05)
127.011 .... 460 packets received, 7480 bps, 93.50%, Err 13 (1.3e-05)
129.131 .... 468 packets received, 7484 bps, 93.55%, Err 13 (1.3e-05)
131.507 .... 473 packets received, 7426 bps, 92.83%, Err 14 (1.3e-05)
133.612 .... 484 packets received, 7478 bps, 93.48%, Err 14 (1.3e-05)
135.742 .... 492 packets received, 7482 bps, 93.52%, Err 14 (1.3e-05)
138.374 .... 498 packets received, 7428 bps, 92.85%, Err 15 (1.4e-05)
140.493 .... 508 packets received, 7462 bps, 93.27%, Err 16 (1.4e-05)
142.598 .... 516 packets received, 7466 bps, 93.33%, Err 16 (1.4e-05)
144.707 .... 524 packets received, 7471 bps, 93.39%, Err 16 (1.4e-05)
146.825 .... 532 packets received, 7475 bps, 93.43%, Err 16 (1.4e-05)
148.944 .... 540 packets received, 7478 bps, 93.48%, Err 16 (1.4e-05)
151.068 .... 548 packets received, 7482 bps, 93.52%, Err 16 (1.3e-05)
153.174 .... 556 packets received, 7486 bps, 93.57%, Err 16 (1.3e-05)
155.291 .... 564 packets received, 7489 bps, 93.62%, Err 16 (1.3e-05)
157.394 .... 572 packets received, 7493 bps, 93.67%, Err 16 (1.3e-05)
159.510 .... 580 packets received, 7497 bps, 93.71%, Err 16 (1.3e-05)
161.591 .... 588 packets received, 7502 bps, 93.77%, Err 16 (1.2e-05)
163.732 .... 596 packets received, 7504 bps, 93.80%, Err 16 (1.2e-05)
165.844 .... 604 packets received, 7507 bps, 93.84%, Err 16 (1.2e-05)
167.932 .... 612 packets received, 7511 bps, 93.89%, Err 16 (1.2e-05)
170.067 .... 620 packets received, 7513 bps, 93.91%, Err 16 (1.2e-05)
172.177 .... 628 packets received, 7516 bps, 93.95%, Err 16 (1.2e-05)
174.302 .... 636 packets received, 7519 bps, 93.98%, Err 16 (1.2e-05)
