000.000 =============================================================
000.000                     Station B                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "bf.log", TCP port 59148, debug mask 0x00
000.000 Station B is connecting station A (TCP port 59148) ... Done.
000.425 New epoch: Sat May 20 10:11:31 2023
000.425 =================================================================
000.425 
000.425 Designed by Li Ruobin, build: May 20 2023  02:25:18
002.846 .... 8 packets received, 7688 bps, 96.11%, Err 0 (0.0e+00)
006.000 .... 15 packets received, 5813 bps, 72.66%, Err 1 (2.2e-05)
008.102 .... 26 packets received, 7208 bps, 90.10%, Err 2 (3.3e-05)
010.200 .... 34 packets received, 7341 bps, 91.77%, Err 2 (2.6e-05)
012.327 .... 42 packets received, 7408 bps, 92.59%, Err 2 (2.1e-05)
014.427 .... 50 packets received, 7468 bps, 93.35%, Err 2 (1.8e-05)
016.561 .... 58 packets received, 7496 bps, 93.70%, Err 2 (1.6e-05)
018.674 .... 66 packets received, 7526 bps, 94.08%, Err 2 (1.4e-05)
020.758 .... 74 packets received, 7561 bps, 94.52%, Err 2 (1.2e-05)
022.895 .... 82 packets received, 7572 bps, 94.64%, Err 2 (1.1e-05)
025.019 .... 90 packets received, 7584 bps, 94.80%, Err 2 (1.0e-05)
027.359 .... 94 packets received, 7225 bps, 90.32%, Err 3 (1.4e-05)
029.484 .... 106 packets received, 7546 bps, 94.32%, Err 3 (1.3e-05)
031.591 .... 114 packets received, 7562 bps, 94.52%, Err 3 (1.2e-05)
033.702 .... 122 packets received, 7574 bps, 94.68%, Err 3 (1.1e-05)
039.512 .... 128 packets received, 6757 bps, 84.46%, Err 5 (1.6e-05)
041.652 .... 141 packets received, 7054 bps, 88.17%, Err 5 (1.5e-05)
043.762 .... 149 packets received, 7089 bps, 88.61%, Err 5 (1.4e-05)
045.882 .... 157 packets received, 7119 bps, 88.99%, Err 5 (1.4e-05)
047.968 .... 165 packets received, 7151 bps, 89.39%, Err 5 (1.3e-05)
050.100 .... 173 packets received, 7174 bps, 89.68%, Err 5 (1.3e-05)
052.199 .... 181 packets received, 7200 bps, 90.00%, Err 5 (1.2e-05)
054.302 .... 189 packets received, 7223 bps, 90.29%, Err 5 (1.2e-05)
056.434 .... 197 packets received, 7241 bps, 90.51%, Err 5 (1.1e-05)
058.533 .... 205 packets received, 7261 bps, 90.77%, Err 5 (1.1e-05)
060.666 .... 213 packets received, 7276 bps, 90.95%, Err 5 (1.0e-05)
062.785 .... 221 packets received, 7292 bps, 91.15%, Err 5 (1.0e-05)
065.922 .... 228 packets received, 7161 bps, 89.51%, Err 6 (1.1e-05)
068.055 .... 240 packets received, 7299 bps, 91.24%, Err 6 (1.1e-05)
070.157 .... 248 packets received, 7314 bps, 91.43%, Err 6 (1.1e-05)
072.263 .... 256 packets received, 7328 bps, 91.60%, Err 6 (1.0e-05)
074.385 .... 263 packets received, 7311 bps, 91.39%, Err 7 (1.2e-05)
076.499 .... 271 packets received, 7324 bps, 91.54%, Err 7 (1.2e-05)
078.609 .... 279 packets received, 7336 bps, 91.69%, Err 7 (1.1e-05)
080.722 .... 287 packets received, 7347 bps, 91.83%, Err 7 (1.1e-05)
082.842 .... 295 packets received, 7356 bps, 91.96%, Err 7 (1.1e-05)
084.956 .... 303 packets received, 7366 bps, 92.08%, Err 7 (1.0e-05)
087.057 .... 311 packets received, 7377 bps, 92.21%, Err 7 (1.0e-05)
089.185 .... 319 packets received, 7385 bps, 92.31%, Err 7 (9.9e-06)
091.278 .... 327 packets received, 7395 bps, 92.44%, Err 7 (9.6e-06)
093.413 .... 330 packets received, 7291 bps, 91.13%, Err 8 (1.1e-05)
095.522 .... 342 packets received, 7388 bps, 92.35%, Err 8 (1.1e-05)
097.632 .... 350 packets received, 7396 bps, 92.45%, Err 8 (1.0e-05)
099.730 .... 358 packets received, 7405 bps, 92.56%, Err 8 (1.0e-05)
101.862 .... 366 packets received, 7411 bps, 92.63%, Err 8 (9.9e-06)
103.969 .... 374 packets received, 7418 bps, 92.73%, Err 8 (9.7e-06)
106.087 .... 382 packets received, 7425 bps, 92.81%, Err 8 (9.5e-06)
108.204 .... 390 packets received, 7431 bps, 92.88%, Err 8 (9.3e-06)
110.825 .... 395 packets received, 7347 bps, 91.84%, Err 9 (1.0e-05)
112.937 .... 407 packets received, 7428 bps, 92.84%, Err 9 (1.0e-05)
115.072 .... 415 packets received, 7432 bps, 92.90%, Err 9 (9.8e-06)
117.162 .... 423 packets received, 7439 bps, 92.99%, Err 9 (9.6e-06)
119.292 .... 431 packets received, 7444 bps, 93.05%, Err 9 (9.5e-06)
121.395 .... 439 packets received, 7450 bps, 93.13%, Err 9 (9.3e-06)
123.526 .... 447 packets received, 7454 bps, 93.18%, Err 9 (9.1e-06)
125.616 .... 455 packets received, 7461 bps, 93.26%, Err 9 (9.0e-06)
127.750 .... 463 packets received, 7464 bps, 93.30%, Err 9 (8.8e-06)
129.841 .... 471 packets received, 7470 bps, 93.38%, Err 9 (8.7e-06)
131.952 .... 479 packets received, 7475 bps, 93.44%, Err 9 (8.6e-06)
134.080 .... 487 packets received, 7479 bps, 93.48%, Err 10 (9.4e-06)
136.201 .... 494 packets received, 7467 bps, 93.34%, Err 10 (9.2e-06)
138.310 .... 502 packets received, 7472 bps, 93.40%, Err 10 (9.1e-06)
141.222 .... 509 packets received, 7419 bps, 92.74%, Err 12 (1.1e-05)
143.339 .... 520 packets received, 7467 bps, 93.34%, Err 12 (1.0e-05)
145.986 .... 525 packets received, 7401 bps, 92.52%, Err 13 (1.1e-05)
148.076 .... 537 packets received, 7463 bps, 93.29%, Err 13 (1.1e-05)
150.189 .... 545 packets received, 7467 bps, 93.34%, Err 13 (1.1e-05)
152.312 .... 553 packets received, 7471 bps, 93.38%, Err 14 (1.2e-05)
