000.000 =============================================================
000.000                     Station B                               
000.000 -------------------------------------------------------------
000.000 Protocol.lib, version 4.0, jiangyanjun0718@bupt.edu.cn
000.000 Channel: 8000 bps, 270 ms propagation delay, bit error rate 1.0E-05
000.000 Log file "b0.log", TCP port 59144, debug mask 0x00
000.000 Station B is connecting station A (TCP port 59144) ... Done.
000.379 New epoch: Sun Apr  9 12:20:01 2023
000.379 =================================================================
000.379 
000.379 Designed by Li Ruobin, build: Apr  9 2023  12:18:20
002.768 .... 8 packets received, 7699 bps, 96.24%, Err 0 (0.0e+00)
007.570 .... 16 packets received, 4728 bps, 59.11%, Err 2 (3.5e-05)
009.779 .... 24 packets received, 5378 bps, 67.23%, Err 2 (2.7e-05)
011.921 .... 32 packets received, 5809 bps, 72.62%, Err 2 (2.2e-05)
014.107 .... 40 packets received, 6083 bps, 76.04%, Err 2 (1.8e-05)
016.278 .... 48 packets received, 6286 bps, 78.58%, Err 2 (1.6e-05)
018.436 .... 56 packets received, 6445 bps, 80.56%, Err 2 (1.4e-05)
020.621 .... 64 packets received, 6560 bps, 82.00%, Err 2 (1.2e-05)
022.761 .... 72 packets received, 6666 bps, 83.32%, Err 2 (1.1e-05)
024.952 .... 80 packets received, 6739 bps, 84.24%, Err 2 (1.0e-05)
027.095 .... 88 packets received, 6812 bps, 85.16%, Err 2 (9.4e-06)
029.271 .... 96 packets received, 6867 bps, 85.84%, Err 2 (8.7e-06)
031.432 .... 104 packets received, 6917 bps, 86.46%, Err 3 (1.2e-05)
034.421 .... 105 packets received, 6366 bps, 79.57%, Err 3 (1.1e-05)
036.530 .... 113 packets received, 6448 bps, 80.60%, Err 3 (1.0e-05)
038.706 .... 121 packets received, 6510 bps, 81.37%, Err 3 (9.8e-06)
040.866 .... 129 packets received, 6568 bps, 82.10%, Err 3 (9.3e-06)
043.044 .... 137 packets received, 6617 bps, 82.71%, Err 3 (8.8e-06)
046.788 .... 141 packets received, 6257 bps, 78.22%, Err 5 (1.3e-05)
048.874 .... 149 packets received, 6326 bps, 79.08%, Err 5 (1.3e-05)
052.171 .... 151 packets received, 6001 bps, 75.02%, Err 5 (1.2e-05)
054.318 .... 159 packets received, 6066 bps, 75.83%, Err 5 (1.2e-05)
057.495 .... 161 packets received, 5799 bps, 72.49%, Err 5 (1.1e-05)
059.669 .... 169 packets received, 5863 bps, 73.29%, Err 5 (1.1e-05)
061.833 .... 177 packets received, 5924 bps, 74.05%, Err 5 (1.0e-05)
064.022 .... 185 packets received, 5978 bps, 74.72%, Err 5 (9.8e-06)
066.162 .... 193 packets received, 6033 bps, 75.41%, Err 5 (9.5e-06)
070.152 .... 198 packets received, 5834 bps, 72.92%, Err 6 (1.1e-05)
072.339 .... 206 packets received, 5884 bps, 73.55%, Err 6 (1.0e-05)
074.521 .... 214 packets received, 5932 bps, 74.15%, Err 6 (1.0e-05)
076.678 .... 222 packets received, 5979 bps, 74.74%, Err 6 (9.8e-06)
078.835 .... 230 packets received, 6024 bps, 75.30%, Err 6 (9.6e-06)
081.006 .... 238 packets received, 6065 bps, 75.81%, Err 6 (9.3e-06)
085.631 .... 245 packets received, 5904 bps, 73.80%, Err 8 (1.2e-05)
087.724 .... 253 packets received, 5950 bps, 74.37%, Err 8 (1.1e-05)
089.903 .... 261 packets received, 5988 bps, 74.85%, Err 8 (1.1e-05)
092.045 .... 269 packets received, 6027 bps, 75.34%, Err 8 (1.1e-05)
